House Id,Locality,House Type,Subtype,Price,Kitchen Type,Room Number,Area,Garden,Terrace,Swimming Pool,New Building
9506668,2000,apartment,apartment,440000,usa hyper equipped,2,,,true,,false
9506842,8300,apartment,apartment,1490000,hyper equipped,2,,,true,,false
9506899,9506,house,house,249000,installed,4,1553,,,,false
9506956,1083,apartment,apartment,265000,usa hyper equipped,2,,,true,,false
9506957,1150,apartment,apartment,650000,installed,3,,,true,,false
9506966,1000,house,apartment block,825000,installed,8,120,40,true,,false
9506967,1200,house,house,990000,semi equipped,7,182,80,true,,false
9506968,1200,apartment,ground floor,344000,usa hyper equipped,2,,48,true,,true
9506969,1040,apartment,apartment,319000,usa hyper equipped,1,,,true,,true
9506976,1180,apartment,apartment,1500000,hyper equipped,3,,,true,,false
9506979,1200,apartment,apartment,481000,usa hyper equipped,3,,,true,,true
9506981,1081,apartment,ground floor,345000,usa hyper equipped,2,,,true,,false
9506983,1000,apartment,apartment,285000,usa hyper equipped,2,,,,,false
9506986,1160,house,mixed use building,1295000,semi equipped,5,239,,,,false
